      2 Rv0197
      1 vapB18
      1 tgs3
      1 sigM
      1 ptrBa
      1 pstA1
      1 plsB1
      1 pks6
      1 pks3
      1 ndh
      1 mmpL9
      1 mmpL13a
      1 mce2B
      1 mce1R
      1 lpdA
      1 fadD25
      1 fadD11.1
      1 ephF
      1 eccC2
      1 ctpI
      1 ctpF
      1 cobB
      1 aceAa
      1 Rv3898c
      1 Rv3847
      1 Rv3830c
      1 Rv3829c
      1 Rv3725
      1 Rv3655c
      1 Rv3483c
      1 Rv3453
      1 Rv3428c
      1 Rv3071
      1 Rv3067
      1 Rv2975c
      1 Rv2885c
      1 Rv2879c
      1 Rv2628
      1 Rv2627c
      1 Rv2561
      1 Rv2437
      1 Rv2293c
      1 Rv2285
      1 Rv2262c
      1 Rv2250A
      1 Rv2160A
      1 Rv2079
      1 Rv1888c
      1 Rv1775
      1 Rv1258c
      1 Rv1225c
      1 Rv1128c
      1 Rv1046c
      1 Rv1045
      1 Rv0907
      1 Rv0888
      1 Rv0836c
      1 Rv0325
      1 Rv0293c
      1 Rv0194
      1 Rv0104
      1 Rv0063
      1 Rv0061c
      1 Rv0045c
      1 Rv0024
      1 PPE7
      1 PPE6
      1 PPE58
      1 PPE37
      1 PE35
      1 PE10
